,1d,5d,21d,63d,126d
Final Cum Return,0.027490124486669654,0.4416372577427454,3.6677690009318615,10.017379518355886,36.249391241071244
Ann. Return,0.002988975772404481,0.037594093942982215,0.17564229858647346,0.35748228735657706,0.647682746819176
Ann. Std,0.028673574499894636,0.07813862798177446,0.2425600082577689,0.5058256712581364,0.7795657941587144
Sharpe Ratio,0.1042414775463542,0.48112047669624936,0.7241189503911053,0.7067302188665396,0.8308249947243224
Avg Max Return,0.0,0.04318324842137718,0.1111789049623255,0.20852317667404663,0.30978480738417036
Std Max Return,0.0,0.05983995917441595,0.13491851897130636,0.2553973968636245,0.37451492764728356
Win Rate Max,0.0,0.736292991797381,0.8735789322204633,0.9307814073967478,0.9494891351273564
Avg Return,0.002234121816088646,0.004008231867185062,0.01104739806245503,0.034935281532352855,0.09053831319834363
Std Return,0.04518011042740318,0.09436033393389695,0.17938866685955676,0.2979283414397679,0.44173667254063126
Win Rate,0.5262627716218161,0.5130954094114261,0.5264066772197439,0.5479205641099438,0.5847603971794503
Avg Min Return,0.0,-0.040232671860001436,-0.10180810640288387,-0.17201449558113974,-0.22545536714539358
Std Min Return,0.0,0.05358237700296692,0.11094607545886517,0.1685227992801466,0.20920218244778946
Pct Min Reached,0.4737372283781839,0.4896387969492013,0.47308965318750895,0.4504245215138869,0.4245215138868902
Max Drawdown Avg,-0.014519464023600518,-0.06368781148366671,-0.14821280781407395,-0.24196663404806448,-0.3120537595337459
Max Drawdown Std,0.027260116753431398,0.059721568118374944,0.10892510421845455,0.15660320679937384,0.18521426094786328
Gain/Loss Ratio,1.0387046103890782,1.0731152931976582,1.071984318668087,1.158152242995904,1.3225982549119677
Trades per Month Avg,110.3015873015873,110.3015873015873,110.3015873015873,110.3015873015873,110.3015873015873
Trades per Month Std,111.00538868658728,111.00538868658728,111.00538868658728,111.00538868658728,111.00538868658728
