,1d,5d,21d,63d,126d
Final Cum Return,0.12962014608662642,0.4815111311928604,0.885474350946186,3.6620499606540005,1.4770538815331151
Ann. Return,0.020547550426215318,0.06814866762631104,0.17323274409416156,0.5169123024809075,0.7469029116166723
Ann. Std,0.10924471299398784,0.2037403636974651,0.4472345479422671,0.8772689742744982,1.2166738793635705
Sharpe Ratio,0.18808736700462683,0.3344878078626839,0.38734204432821223,0.5892289795252296,0.6138891647837212
Avg Max Return,0.0,0.1148820120918182,0.2402546616161616,0.4106413818181819,0.5710215919191919
Std Max Return,0.0,0.14415291779123854,0.27601836199148916,0.5064873195103852,0.7049656575812583
Win Rate Max,0.0,0.7646464646464647,0.8868686868686869,0.9393939393939394,0.9535353535353536
Avg Return,0.022393389898989896,0.04111189657453535,0.05486630634494949,0.07992598446434343,0.2433413016429091
Std Return,0.10017034753998098,0.20064881557851982,0.3135688662159355,0.5019170283629868,0.7390234186561367
Win Rate,0.601010101010101,0.5424242424242425,0.5383838383838384,0.49393939393939396,0.601010101010101
Avg Min Return,0.0,-0.06567120063959596,-0.15338363132422225,-0.2570654383949293,-0.3161414161727071
Std Min Return,0.0,0.10049147078804337,0.16732401052908383,0.22014594852417857,0.2548478279696048
Pct Min Reached,0.398989898989899,0.46464646464646464,0.4727272727272728,0.4939393939393939,0.44141414141414137
Max Drawdown Avg,-0.025213387878787883,-0.1098144292929293,-0.24216156565656569,-0.3704820606060606,-0.4412761414141414
Max Drawdown Std,0.05187386310888472,0.10768767887098964,0.1582872213469309,0.196844981260684,0.2147904979517817
Gain/Loss Ratio,1.2534806401018228,1.5065150685458788,1.4196959985938868,1.6715503227334105,1.956989270882504
Trades per Month Avg,9.51923076923077,9.51923076923077,9.51923076923077,9.51923076923077,9.51923076923077
Trades per Month Std,17.545491921892076,17.545491921892076,17.545491921892076,17.545491921892076,17.545491921892076
