trade_date,stock,purchase_price,trigger_drop_pct,return_1d,return_5d,return_21d,return_63d,return_126d,bounce_1d,bounce_5d,bounce_21d,bounce_63d,bounce_126d,max_return_1d,max_return_5d,max_return_21d,max_return_63d,max_return_126d,min_return_1d,min_return_5d,min_return_21d,min_return_63d,min_return_126d,max_drawdown_1d,max_drawdown_5d,max_drawdown_21d,max_drawdown_63d,max_drawdown_126d,days_to_max_1d,days_to_max_5d,days_to_max_21d,days_to_max_63d,days_to_max_126d,days_to_min_1d,days_to_min_5d,days_to_min_21d,days_to_min_63d,days_to_min_126d,min_before_max_1d,min_before_max_5d,min_before_max_21d,min_before_max_63d,min_before_max_126d,relative_volume_1m,relative_volume_1y,relative_volume_2y,relative_value_1m,relative_value_1y,relative_value_2y,volume_quantile_1m,volume_quantile_1y,volume_quantile_2y,value_quantile_1m,value_quantile_1y,value_quantile_2y
2019-07-30,x79698,138.26,-0.1902,0.007739,-0.07103,-0.05453,0.05671,0.1727,1,0.0,0.0,1.0,1.0,0.0,0.007739,0.007739,0.05627,0.1732,0.0,-0.07406,-0.08513,-0.08513,-0.08513,0.0,-0.08117,-0.09215,-0.09215,-0.09215,1,1,1,63,84,0,4,12,12,12,1.0,0.0,0.0,1.0,1.0,0.121,0.1254,0.1383,0.2938,0.2848,0.2736,0.0336,0.03409,0.04388,0.3261,0.2936,0.2468
2020-03-16,x79782,44.94,-0.1866,0.06097,-0.2239,-0.08078,0.06675,-0.109,1,0.0,0.0,1.0,0.0,0.0,0.06097,0.06097,0.1949,0.1949,0.0,-0.2145,-0.2819,-0.2819,-0.2819,0.0,-0.2685,-0.3232,-0.3232,-0.3232,1,1,1,58,58,0,5,14,14,14,1.0,0.0,0.0,1.0,1.0,0.2383,0.2265,0.2318,0.1937,0.2184,0.2282,0.2134,0.1578,0.1703,0.1798,0.1958,0.1866
2020-03-16,x79785,2321.78,-0.2055,-0.02163,-0.06322,0.2029,0.3939,0.7841,0,0.0,1.0,1.0,1.0,0.0,0.167,0.2669,0.5181,0.8564,0.0,-0.02163,-0.06322,-0.06322,-0.06322,-0.02163,-0.1972,-0.1972,-0.1972,-0.1972,0,3,8,58,112,1,5,5,5,5,0.0,0.0,1.0,1.0,1.0,0.005195,0.007403,0.006833,0.2626,0.2744,0.2934,0.0,0.0,0.0,0.3123,0.2966,0.3134
2015-05-19,x79881,34.61,-0.15,-0.01416,0.01055,0.01705,-0.08841,-0.345,0,1.0,1.0,0.0,0.0,0.0,0.0104,0.05085,0.05085,0.05085,0.0,-0.01416,-0.01416,-0.06876,-0.2924,-0.01416,-0.01416,-0.03794,-0.1325,-0.3767,0,5,11,11,11,1,1,1,63,126,0.0,1.0,1.0,0.0,0.0,0.7286,0.5778,0.5014,0.1386,0.1358,0.1587,0.6116,0.5087,0.4741,0.04382,0.04046,0.07778
2018-04-06,x79906,64.02,-0.2293,0.02093,0.09528,-0.01796,0.1064,0.0339,1,1.0,0.0,1.0,1.0,0.0,0.09075,0.1015,0.1564,0.1595,0.0,0.0,-0.04952,-0.04952,-0.04952,0.0,-0.02686,-0.1371,-0.1371,-0.1659,1,5,7,54,105,0,0,17,17,17,1.0,1.0,0.0,1.0,1.0,0.5797,0.4266,0.4325,0.3913,0.527,0.5952,0.5403,0.3928,0.3943,0.442,0.5503,0.6039
2014-11-28,x79915,27.23,-0.1616,-0.04113,-0.05068,0.002206,0.2097,0.3724,0,0.0,1.0,1.0,1.0,0.0,0.0,0.04591,0.3221,0.4576,0.0,-0.04113,-0.1348,-0.1653,-0.1653,-0.04113,-0.05068,-0.1348,-0.2019,-0.2019,0,0,15,59,103,1,5,11,29,29,0.0,0.0,1.0,1.0,1.0,0.7335,0.6678,0.5787,0.1211,0.1332,0.1288,0.6123,0.5808,0.5326,0.01988,0.03846,0.04655
2020-03-12,x80100,88.69,-0.1774,0.07522,-0.3324,-0.2179,-0.1386,-0.2072,1,0.0,0.0,0.0,0.0,0.0,0.07522,0.07522,0.1438,0.1438,0.0,-0.462,-0.4729,-0.4729,-0.4729,0.0,-0.4996,-0.5097,-0.5097,-0.5097,1,1,1,60,60,0,4,15,15,15,1.0,0.0,0.0,1.0,1.0,0.6124,0.428,0.3791,0.7325,0.9608,1.087,0.5771,0.4068,0.3496,0.6838,0.7605,0.7862
2020-03-16,x80183,104.95,-0.1671,0.07832,-0.1932,0.04793,0.1244,0.1401,1,0.0,1.0,1.0,1.0,0.0,0.07832,0.1115,0.2056,0.2056,0.0,-0.1663,-0.1932,-0.1932,-0.1932,0.0,-0.2518,-0.2518,-0.2518,-0.2518,1,1,18,58,58,0,5,5,5,5,1.0,0.0,1.0,1.0,1.0,0.1404,0.1347,0.1316,0.3107,0.2866,0.2731,0.08103,0.05703,0.05072,0.3775,0.3251,0.2645
2020-09-23,x80191,80.42,-0.1556,0.03594,0.1102,0.1808,0.8188,0.8519,1,1.0,1.0,1.0,1.0,0.0,0.08008,0.2055,0.79,1.304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.04518,-0.06516,-0.2405,1,5,11,63,80,0,0,0,0,0,1.0,1.0,1.0,1.0,1.0,0.2168,0.2995,0.3249,0.1732,0.1543,0.1712,0.2657,0.3194,0.3091,0.185,0.1274,0.1127
2022-02-17,x80191,197.02,-0.1991,-0.03177,-0.02573,0.008426,0.2135,0.3705,0,0.0,1.0,1.0,1.0,0.0,0.0,0.006194,0.2304,0.4419,0.0,-0.07624,-0.1265,-0.1265,-0.1265,-0.03177,-0.07624,-0.1265,-0.1694,-0.2772,0,0,21,54,122,1,3,11,11,11,0.0,0.0,1.0,1.0,1.0,0.2335,0.2668,0.2658,0.3321,0.3198,0.2705,0.2801,0.3098,0.3039,0.4221,0.4092,0.3352
2024-03-05,x80191,109.4,-0.1787,0.09314,0.1328,0.1071,0.08144,-0.2253,1,1.0,1.0,1.0,0.0,0.0,0.1403,0.2042,0.2382,0.2382,0.0,0.0,0.0,0.0,-0.3341,0.0,-0.0353,-0.08061,-0.1514,-0.4622,1,4,17,49,49,0,0,0,0,112,1.0,1.0,1.0,1.0,0.0,0.8519,0.498,0.393,0.162,0.2701,0.3484,0.7038,0.5541,0.4598,0.169,0.3668,0.4449
