,1d,5d,21d,63d,126d
Final Cum Return,0.3120857981853826,0.9670655892826032,5.500076337424997,42.24465247233601,575.0646143326779
Ann. Return,0.03593743360482832,0.08986895828654605,0.2577808058699858,0.6032092668150189,1.072329921067194
Ann. Std,0.10228317164403375,0.1840989006031025,0.2960263872902912,0.670093993099379,0.9676206345470365
Sharpe Ratio,0.35135235862550196,0.4881558661792006,0.8708034720472376,0.9001860530416056,1.1082131599737681
Avg Max Return,0.0,0.058831337345132746,0.1385839203539823,0.2881682796460177,0.3947293415929204
Std Max Return,0.0,0.06202113029431051,0.14084494572423528,0.28332347611976105,0.3650126886184749
Win Rate Max,0.0,0.7787610619469026,0.9185840707964602,0.9610619469026549,0.9769911504424779
Avg Return,0.026662578761061945,-0.039495199646017706,0.051675683787256635,0.16314644902654868,0.20961153628318585
Std Return,0.06940567331098607,0.1332954322966906,0.18900779047071012,0.2812521587334558,0.3884515334622379
Win Rate,0.6495575221238938,0.3858407079646018,0.6141592920353982,0.7150442477876107,0.679646017699115
Avg Min Return,0.0,-0.07236615380530972,-0.12264523716814157,-0.15265718761061947,-0.18591347079646017
Std Min Return,0.0,0.09291493753424895,0.12808013233785034,0.13564798152937288,0.152397750081589
Pct Min Reached,0.35044247787610616,0.607079646017699,0.38761061946902653,0.28141592920353986,0.2566371681415929
Max Drawdown Avg,-0.01277929203539823,-0.11680322654867258,-0.17187405309734513,-0.22102516814159295,-0.2727164955752212
Max Drawdown Std,0.03397434341964206,0.1134248395402849,0.12752525712300272,0.12553514234394247,0.13461119308853364
Gain/Loss Ratio,1.66513648677712,0.6831750609822235,1.4366120101132318,2.2139145921316743,2.2646376517955122
Trades per Month Avg,5.485436893203883,5.485436893203883,5.485436893203883,5.485436893203883,5.485436893203883
Trades per Month Std,22.4271649348092,22.4271649348092,22.4271649348092,22.4271649348092,22.4271649348092
