trade_date,stock,purchase_price,trigger_drop_pct,return_1d,return_5d,return_21d,return_63d,return_126d,bounce_1d,bounce_5d,bounce_21d,bounce_63d,bounce_126d,max_return_1d,max_return_5d,max_return_21d,max_return_63d,max_return_126d,min_return_1d,min_return_5d,min_return_21d,min_return_63d,min_return_126d,max_drawdown_1d,max_drawdown_5d,max_drawdown_21d,max_drawdown_63d,max_drawdown_126d,days_to_max_1d,days_to_max_5d,days_to_max_21d,days_to_max_63d,days_to_max_126d,days_to_min_1d,days_to_min_5d,days_to_min_21d,days_to_min_63d,days_to_min_126d,min_before_max_1d,min_before_max_5d,min_before_max_21d,min_before_max_63d,min_before_max_126d,relative_volume_1m,relative_volume_1y,relative_volume_2y,relative_value_1m,relative_value_1y,relative_value_2y,volume_quantile_1m,volume_quantile_1y,volume_quantile_2y,value_quantile_1m,value_quantile_1y,value_quantile_2y
2020-03-12,x10104,159.2,-0.11,0.2043,0.1324,0.3309,0.2892,0.4405,1,1.0,1.0,1.0,1.0,0.0,0.2043,0.3362,0.3844,0.4832,0.0,0.0,0.0,0.0,0.0,0.0,-0.1087,-0.1087,-0.1087,-0.1087,1,1,20,60,121,0,0,0,0,0,1.0,1.0,1.0,1.0,1.0,2.44,3.078,3.532,3.093,3.602,3.918,0.917,0.9449,0.9656,0.9368,0.9411,0.9475
2023-09-12,x10104,438.44,-0.135,0.02034,0.02883,0.0002738,0.05036,0.1452,1,1.0,1.0,1.0,1.0,0.0,0.03923,0.03923,0.06888,0.1636,0.0,0.0,-0.04644,-0.08403,-0.08485,0.0,-0.01492,-0.08243,-0.1186,-0.1438,1,3,3,57,125,0,0,15,32,66,1.0,1.0,0.0,1.0,1.0,2.957,1.752,1.779,4.194,3.636,3.376,0.9365,0.8865,0.8808,0.9583,0.95,0.9479
2023-12-12,x10104,403.24,-0.1244,0.02162,0.05396,0.05744,0.2452,0.3873,1,1.0,1.0,1.0,1.0,0.0,0.04156,0.05396,0.2652,0.3925,0.0,-0.00496,-0.00496,-0.00496,-0.00496,0.0,-0.02602,-0.03567,-0.07768,-0.1199,1,5,21,61,125,0,2,2,2,2,1.0,1.0,1.0,1.0,1.0,2.02,1.81,1.739,3.979,3.878,3.481,0.9046,0.8863,0.872,0.9602,0.9576,0.9499
2013-07-19,x10107,62.8,-0.114,0.01943,0.007006,-0.0002241,0.1121,0.1586,1,1.0,0.0,1.0,1.0,0.0,0.01943,0.04745,0.1067,0.2401,0.0,-0.0003185,-0.0003185,-0.007899,-0.007899,0.0,-0.01937,-0.04552,-0.1035,-0.1035,1,1,14,63,96,0,4,4,34,34,1.0,0.0,1.0,1.0,1.0,10.16,9.767,9.25,9.579,9.263,9.859,0.992,0.9942,0.9944,0.994,0.9942,0.9944
2020-03-16,x10107,270.84,-0.1474,0.08234,0.004135,0.2692,0.3952,0.5168,1,1.0,1.0,1.0,1.0,0.0,0.08234,0.2827,0.4536,0.7106,0.0,0.0,0.0,0.0,0.0,0.0,-0.07225,-0.07225,-0.07225,-0.1251,1,1,20,60,119,0,0,0,0,0,1.0,1.0,1.0,1.0,1.0,9.087,6.726,6.6,24.56,21.73,20.15,0.9901,0.9867,0.9837,0.996,0.9981,0.9964
2020-03-09,x10138,207.28,-0.1123,0.08829,-0.05876,-0.01679,0.2618,0.2762,1,0.0,0.0,1.0,1.0,0.0,0.08829,0.08829,0.2377,0.3618,0.0,-0.1149,-0.1758,-0.1758,-0.1758,0.0,-0.1867,-0.2427,-0.2427,-0.2427,1,1,1,63,124,0,3,10,10,10,1.0,0.0,0.0,1.0,1.0,0.289,0.2713,0.296,0.5628,0.5358,0.5626,0.2727,0.211,0.2446,0.6107,0.5798,0.5996
2020-03-12,x10145,141.3,-0.1209,0.108,-0.1178,0.02292,0.0637,0.2182,1,0.0,1.0,1.0,1.0,0.0,0.108,0.108,0.2082,0.279,0.0,-0.113,-0.2298,-0.2298,-0.2298,0.0,-0.2038,-0.3049,-0.3049,-0.3049,1,1,1,60,121,0,5,7,7,7,1.0,0.0,0.0,1.0,1.0,0.6781,0.6845,0.6584,2.27,2.446,2.491,0.6047,0.6103,0.5924,0.8992,0.9183,0.9203
2020-03-12,x10516,34.77,-0.1007,0.09829,0.06087,0.1436,0.2238,0.4591,1,1.0,1.0,1.0,1.0,0.0,0.1179,0.1915,0.3599,0.474,0.0,0.0,-0.0707,-0.0707,-0.0707,0.0,-0.06353,-0.1687,-0.1687,-0.1687,1,3,20,60,123,0,0,7,7,7,1.0,1.0,1.0,1.0,1.0,0.6436,0.829,0.81,0.4234,0.4634,0.5213,0.5929,0.6597,0.6612,0.502,0.5171,0.5743
2024-01-22,x10516,56.99,-0.242,0.01199,0.06287,0.04276,0.2091,0.2037,1,1.0,1.0,1.0,1.0,0.0,0.01819,0.09809,0.2362,0.2714,0.0,-0.005998,-0.005998,-0.005998,-0.005998,0.0,-0.02375,-0.07558,-0.07558,-0.08654,1,5,8,54,122,0,3,3,3,3,1.0,1.0,1.0,1.0,1.0,1.185,0.6403,0.6425,0.4506,0.5653,0.6414,0.8032,0.6467,0.6357,0.5447,0.6274,0.671
2020-03-16,x10696,517.08,-0.1667,0.05465,-0.1065,0.0868,0.1597,0.1275,1,0.0,1.0,1.0,1.0,0.0,0.05465,0.1513,0.2712,0.2712,0.0,-0.06069,-0.1065,-0.1065,-0.1065,0.0,-0.1528,-0.1528,-0.1528,-0.1528,1,1,18,57,57,0,5,5,5,5,1.0,0.0,1.0,1.0,1.0,0.8415,0.9691,0.7409,1.461,1.207,0.9757,0.6957,0.7091,0.6377,0.8518,0.8118,0.7518
