,1d,5d,21d,63d,126d
Final Cum Return,0.1114210585848705,1.227839688843603,8.617942226718949,164.858010658509,2371.782942551459
Ann. Return,0.009497640881931082,0.07178241053313662,0.21238357303905467,0.4997153092673675,0.7926259588947957
Ann. Std,0.027430940983771523,0.07027081140385336,0.1754069817208693,0.3197956119899025,0.46940026078344094
Sharpe Ratio,0.34623824562015576,1.021511052727084,1.2108045583785678,1.5626083990268946,1.6885929240258257
Avg Max Return,0.0,0.03298985419715175,0.08739501321873054,0.17026047392247476,0.25436142871828726
Std Max Return,0.0,0.04248401007283948,0.09736729659102704,0.17450815959868216,0.24597272966481096
Win Rate Max,0.0,0.7330000943129303,0.8755069320003772,0.9366217108365557,0.9580307460152787
Avg Return,-0.00020533094407243239,0.0038602546718494767,0.017456153168075073,0.06071250546730171,0.0998143392270678
Std Return,0.03480365767780707,0.0713349263295941,0.13289977875685888,0.19890009716825946,0.2900820536613701
Win Rate,0.5074978779590682,0.532679430349901,0.5671036499104027,0.6209563331132698,0.6258606054890126
Avg Min Return,0.0,-0.031442083146950864,-0.07311556695746486,-0.11227027663868717,-0.1496607954163916
Std Min Return,0.0,0.04205564545889756,0.09104127858653205,0.1156702992610285,0.14170218164646778
Pct Min Reached,0.4925021220409318,0.46722625671979623,0.4406300103744223,0.38941808922003207,0.37725172121097805
Max Drawdown Avg,-0.0124200995944544,-0.047066157672356876,-0.1078089305856833,-0.1724726171838159,-0.23022247665754977
Max Drawdown Std,0.021530497073323197,0.04765741861986887,0.08829276038716209,0.10689681577543393,0.12739083885411168
Gain/Loss Ratio,0.9544079381130652,1.0229218416973171,1.1036044417477606,1.4192190059822185,1.573376122152856
Trades per Month Avg,76.28057553956835,76.28057553956835,76.28057553956835,76.28057553956835,76.28057553956835
Trades per Month Std,70.24450350120014,70.24450350120014,70.24450350120014,70.24450350120014,70.24450350120014
